,CV_R2_Mean,Train_R2_Log,Train_RMSE_Log,Train_MAE_Log,Val_R2_Log,Val_RMSE_Log,Val_MAE_Log,Test_R2_Log,Test_RMSE_Log,Test_MAE_Log,Train_R2_Orig,Train_RMSE_Orig,Train_MAE_Orig,Val_R2_Orig,Val_RMSE_Orig,Val_MAE_Orig,Test_R2_Orig,Test_RMSE_Orig,Test_MAE_Orig
RandomForest,0.8452117723325413,0.9528940192180931,0.06948808374166868,0.04932465045043956,0.8996599299132879,0.09518807466688389,0.0718493835475629,0.9148509720446114,0.09494624283840578,0.06987705853231206,0.9546602124920284,0.22868488507783083,0.14865035864503198,0.9091315784186161,0.31202457218635404,0.21854594590097773,0.9138854543566607,0.32280033538093034,0.21306713466795782
ExtraTrees,0.8483843147462291,0.9449724498524829,0.07510388436310181,0.053576426665843356,0.9062374550260932,0.09201529778974628,0.0696055646138937,0.9165841166463282,0.09397499539553575,0.07220156382419426,0.9504444392332417,0.23908036937522023,0.15969582292884832,0.9149060698309701,0.3019476094129747,0.21013466213996668,0.9160868214702361,0.3186477131363516,0.21861556942221308
CatBoost,0.8319194901808749,0.9864960243475603,0.037205156289752496,0.009989412778940363,0.9078858270085344,0.09120288389872581,0.06966038416851902,0.9129246107755924,0.09601424002017264,0.0713260391729925,0.9865890253661174,0.1243735100814439,0.029173094456920543,0.9186712616486653,0.29519182216486217,0.2116365528643528,0.905358656449955,0.3384045303876353,0.2211643236651361
XGBoost,0.8332709097062642,0.9861950619483713,0.03761746635204408,0.012641282203089146,0.8896975838960655,0.09980168076445395,0.07458509640963941,0.9125940651619171,0.09619630652617144,0.07161344487667998,0.986149533332972,0.12639500862886688,0.037949869097412596,0.8971806621430555,0.3319095172488983,0.22947917882823474,0.9091404139099064,0.3315744798783109,0.22087390010892222
GradientBoosting,0.8484463528833154,0.9635789193539057,0.06110105708936014,0.03613171665929391,0.9016362200476695,0.09424600444407795,0.07061203396896742,0.9188965969056461,0.09266323869777657,0.0685380715566247,0.9636377304502645,0.20479682131659982,0.10960208413767991,0.9105175897640224,0.30963578080683823,0.214792448221814,0.9188404075644732,0.3133759393233135,0.20833904441894088
