Composition,log_H2_W% (max),temperature(K),MagpieData mean Column,VEC mean,MagpieData mean Number,MagpieData mode CovalentRadius,MagpieData mean MendeleevNumber,Mixing enthalpy,Mean cohesive energy,MagpieData mode Number,MagpieData mode NdValence,MagpieData mean NsValence,MagpieData avg_dev CovalentRadius,MagpieData avg_dev AtomicWeight,MagpieData mean CovalentRadius,MagpieData range Electronegativity,MagpieData mean SpaceGroupNumber,MagpieData avg_dev NValence,Shear modulus local mismatch,Miedema_deltaH_ss_min,MagpieData avg_dev MendeleevNumber,Shear modulus mean,MagpieData mean GSvolume_pa,Thermal_Enthalpy_Interaction,Valence_Electron_Concentration,Electromechanical_Mismatch,Atomic_Deviation_Ratio,Squared_Electronegativity_Range,Group_Valence_Product,Temperature_Normalized_by_Mendeleev,Mismatch_Enthalpy_Ratio,Covalent_Deviation_Squared,Atomic_Weight_Deviation_Product,H2_W% (max)
Mg0.56Al0.34Y0.1,1.4586150226995167,583,5.84,2.44,15.04,141,64.1,8.0352,2.4352,12,0,2.0,12.308,11.44614838,139.1,0.39,204.54,0.4928,2.256892,-0.21504998,10.42,21.3422,21.6581,-125.37413834,0.1329787234042553,0.88018788,1.0752962124364842,0.1521,11.68,9.095163806552264,-0.0952858975972266,151.486864,172.1500716352,3.3
Mg0.59Al0.36Ni0.05,1.4816045409242156,583,6.36,2.76,13.16,141,69.45,3.7552,2.3333,12,0,2.0,9.499,3.17054261,132.95,0.6,206.71,0.8968,4.534587,-0.140301103,2.556,23.5673,19.9539,-81.795543049,0.1519756838905775,2.7207522,2.996017139160921,0.36,12.72,8.394528437724981,-0.030940216385748,90.231001,41.7243407476,3.4000000000000004
Mg0.62Al0.38,1.1939224684724346,583,6.18,2.38,12.38,141,69.9,1.8848,2.2244,12,0,2.0,9.424,1.261184988,133.4,0.3,205.78,0.4712,2.174588,-0.148205107,2.356,20.8674,20.4542,-86.403577381,0.1615508885298869,0.6523764,7.472337594934963,0.09,12.36,8.340486409155936,-0.0681531890178737,88.811776,15.61347015144,2.3
Mg0.6Al0.4,0.6931471805599453,583,6.4,2.4,12.4,141,70.0,1.92,2.262,12,0,2.0,9.6,1.284738528,133.0,0.3,206.4,0.48,2.2152,-0.15195463,2.4,21.052,20.326,-88.58954929000001,0.1612903225806451,0.6645599999999999,7.472337593039009,0.09,12.8,8.32857142857143,-0.0685963479595521,92.16,15.9307577472,1.0
Mg0.725Li0.1Ni0.1Sn0.025Zn0.025Cu0.025,0.8754687373538999,583,3.475,3.225,14.525,141,60.825,2.6475,1.90125,12,0,1.875,5.525,13.48906725,137.25,0.98,200.05,2.63375,7.28948625,-0.068152425,11.965,23.03255,20.74445833,-39.732863775,0.1290877796901893,7.143696525,0.4095909596714332,0.9604,6.515625,9.584874640361694,-0.0093494140276346,30.525625000000005,195.92870180625,1.4
Mg0.72Li0.28,1.871802176901592,623,1.72,1.72,9.48,141,49.24,1e-06,1.5436,12,0,1.72,5.2416,7.0011648,137.36,0.33,203.8,0.4032,2.6474112,-0.000588159,27.0144,13.68304,21.12693333,-0.366423057,0.1814345991561181,0.8736456960000001,0.7486754204100438,0.1089,2.9584,12.652315190901705,-0.0002221638255515,27.47437056,66.371042304,5.5000000000000036
Mg0.75Li0.1Ni0.05Sn0.05Cu0.05,0.832909122935104,583,3.35,2.85,14.65,141,61.35,2.77,1.849,12,0,1.85,4.12,14.803844,138.3,0.98,197.95,2.495,5.14288,-0.054995736,12.105,20.3738,21.56058333,-32.062514088,0.1262798634812286,5.0400224,0.2783060940117985,0.9604,6.197500000000001,9.502852485737572,-0.0106935678063653,16.9744,216.8763146,1.2999999999999998
Mg0.75Li0.1Ni0.1Sn0.05,1.0647107369924282,583,3.3,2.8,14.6,141,61.2,2.95,1.8965,12,0,1.9,4.76,14.391373,137.9,0.98,197.95,2.41,6.41448,-0.03461592,12.08,21.8698,21.52308333,-20.18108136,0.1301369863013698,6.2861904,0.3307537091839673,0.9604,6.27,9.526143790849671,-0.0053965278557264,22.6576,210.1140458,1.9
Mg0.7Li0.1Ni0.1Sn0.05Zn0.05,0.9162907318741552,583,3.8,3.3,15.5,141,61.25,3.65,1.8885,12,0,1.9,5.875,17.035104,136.95,0.98,197.95,3.08,7.15233,-0.138936925,12.1,22.8608,21.07658333,-81.000227275,0.1225806451612903,7.0092834,0.3448760864624014,0.9604,7.22,9.518367346938776,-0.0194254075245409,34.515625,264.044112,1.5000000000000004
Mg0.7Li0.1Ni0.1Sn0.1,1.1939224684724346,583,3.9,2.9,16.5,141,61.8,4.48,1.978,12,0,1.9,4.72,21.301504,137.8,0.98,195.3,3.24,6.44958,-0.085638109,12.32,21.9238,22.04283333,-49.927017547000005,0.1151515151515151,6.3205884,0.2215805982525928,0.9604,7.409999999999999,9.433656957928804,-0.0132780908214178,22.2784,351.47481600000003,2.3
Mg0.7Li0.2Zn0.1,0.7419373447293773,583,2.8,2.8,12.0,141,54.7,1.68,1.518,12,0,1.8,6.3,8.08806,136.5,0.67,201.0,1.84,3.88492,-0.042534857,21.48,16.7156,20.73766667,-24.797821631,0.15,2.6028964,0.7789259723592554,0.4489000000000001,5.04,10.6581352833638,-0.010948708596316,39.69,97.05672,1.1
Mg0.8275Ni0.05Cu0.0775Zn0.045,1.5686159179138452,572,3.5475,3.5475,14.9275,141,67.385,2.032425,1.80275,12,0,1.9225,3.9761375,10.93784949,138.5975,0.6,197.9525,2.5611125,5.134768938,-0.016968671,1.163175,23.288575,20.9436,-9.706079812,0.1287891475464746,3.0808613628,0.3635209557084516,0.36,6.82006875,8.48853602433776,-0.0033046610674967,15.809669418906251,163.274748261975,3.8
Mg0.845Ni0.05Cu0.1Y0.005,1.3609765531356006,572,3.305,3.305,14.635,141,66.97,1.7864,1.8688,12,0,1.9,3.0485,10.08342598,139.495,0.69,198.65,2.2085,4.991204,-0.001454249,1.7407,23.0637,21.126875,-0.831830428,0.1298257601639904,3.44393076,0.302327800694581,0.4760999999999999,6.2795,8.541137822905778,-0.0002913623646719,9.293352250000002,147.57093921729998,2.8999999999999995
Mg0.85Cu0.1Ni0.05,1.410986973710262,572,3.3,3.3,14.5,141,67.25,1.62,1.8545,12,0,1.9,2.975,9.593984,139.25,0.6,198.65,2.21,4.961875,0.012929844,1.275,23.0215,21.0795,7.395870768,0.1310344827586206,2.977125,0.3100901564980721,0.36,6.27,8.50557620817844,0.0026058383171684,8.850625,139.11276800000002,3.0999999999999996
Mg0.85Cu0.1Ni0.05Sn0.02,1.1939224684724346,572,3.509803922,3.31372549,15.19607843,141,67.5,2.106881968,1.879705882,12,0,1.901960784,2.924836601,12.30656863,139.245098,0.65,197.5196078,2.516339869,4.892565359,0.014023928,1.323529412,22.93166667,21.31882353,8.021686815999999,0.1251612903132403,3.18016748335,0.2376646723336072,0.4225,6.675509419173395,8.474074074074075,0.0028663751980753,8.554669142549233,187.01158210565765,2.3
Mg0.8Al0.1La0.1,1.6486586255873816,583,3.2,2.2,16.6,141,63.0,4.4,1.994,12,0,2.0,12.28,20.57455383,145.6,0.51,197.1,0.32,1.0512,-0.105052615,10.0,18.038,23.64975,-61.245674545,0.1204819277108433,0.5361119999999999,0.5968537690520601,0.2601,6.4,9.253968253968257,-0.0999358970700152,150.7984,341.53759357800004,4.2
Mg0.8Al0.1Y0.1,1.62924053973028,583,3.2,2.2,14.8,141,62.9,4.08,1.984,12,0,2.0,9.22,11.57462223,143.9,0.39,197.1,0.32,1.4215,-0.1087512,10.18,19.127,23.1965,-63.4019496,0.1351351351351351,0.554385,0.7965702738965331,0.1521,6.4,9.268680445151034,-0.0765045374604291,85.00840000000001,171.304409004,4.1
Mg0.8Li0.05Ni0.1Sn0.05,1.252762968495368,583,3.35,2.85,15.05,141,64.55,2.96,1.8905,12,0,1.95,3.965,14.130913,138.55,0.98,196.2,2.395,5.85637,-0.022567201,7.065,22.5264,21.83791667,-13.156678183,0.1295681063122923,5.7392426,0.2805905039539908,0.9604,6.5325,9.03175832687839,-0.003853445222894,15.721225,212.67024065,2.5
Mg0.8Li0.05Ni0.1Zn0.05,0.9555114450274363,583,3.25,3.25,14.05,141,64.0,2.15,1.801,12,0,1.95,5.28,9.597863,137.7,0.93,198.85,2.225,6.55912,-0.023820644,6.9,23.4634,20.87166667,-13.887435451999998,0.1387900355871886,6.0999816,0.5501224595516732,0.8649000000000001,6.3375,9.109375,-0.0036316829086828,27.878400000000003,134.84997515,1.6
Mg0.8Li0.1Cu0.1,0.6418538861723948,583,2.8,2.8,12.8,141,60.9,1.16,1.72,12,0,1.8,3.52,7.41066,138.8,0.92,200.6,1.64,3.68118,-0.017206264,11.98,18.8238,21.07833333,-10.031251912,0.140625,3.3866856,0.4749914312625326,0.8464,5.04,9.573070607553367,-0.0046741164517899,12.3904,94.856448,0.9000000000000001
Mg0.8Li0.1Ni0.1,1.0986122886681098,583,2.7,2.7,12.7,141,60.6,1.24,1.815,12,0,1.9,4.8,6.537192,138.0,0.93,200.6,1.46,6.37398,0.014148447,11.92,21.8158,21.00333333,8.248544600999999,0.1496062992125984,5.927801400000001,0.7342602144774086,0.8649000000000001,5.13,9.62046204620462,0.0022197193903965,23.04,83.0223384,2.0000000000000004
Mg0.8Li0.1Si0.1,0.832909122935104,583,3.1,2.1,11.3,141,62.3,9.52,1.834,12,0,1.9,6.88,3.20113,136.7,0.92,200.8,0.38,3.19518,-0.033535429,12.26,18.2838,22.01533333,-19.551155107,0.1681415929203539,2.9395656000000003,2.149241049254482,0.8464,5.89,9.357945425361155,-0.0104956306061004,47.3344,36.172769,1.2999999999999998
Mg0.5Al0.5,1.4816045409242156,553,7.5,2.5,12.5,121,70.5,2.0,2.45,12,0,2.0,10.0,1.3382693,131.0,0.3,209.5,0.5,2.3075,-0.163772389,2.5,21.975,19.685,-90.566131117,0.16,0.69225,7.472337593039009,0.09,15.0,7.843971631205674,-0.070973949729144,100.0,16.72836625,3.4000000000000004
Mg0.708La0.125Al0.167,1.6486586255873816,573,3.962,2.292,17.792,141,61.96,6.596888,2.19396,12,0,2.0,15.2725,24.95710733,145.91,0.51,199.177,0.413472,1.55196328,-0.155796649,12.24,18.59516,23.5704675,-89.271479877,0.112410071942446,0.7915012728,0.6119499266504137,0.2601,7.924,9.247901872175596,-0.1003868139199788,233.24925625000003,444.03685361536,4.2
Mg0.70Ni0.25Nd0.05,1.4816045409242156,573,4.05,4.2,18.4,141,63.8,5.14,2.337,12,0,2.0,7.875,20.43153,139.75,0.77,201.75,3.08,10.951775,-0.01230837,5.88,31.6405,20.3435,-7.05269601,0.108695652173913,8.43286675,0.3854336899879745,0.5929,8.1,8.981191222570533,-0.0011238698749746,62.015625,375.940152,3.4000000000000004
Mg0.75Al0.25,1.5040773967762742,623,4.75,2.25,12.25,141,69.25,1.5,1.98,12,0,2.0,7.5,1.003701975,136.0,0.3,201.75,0.375,1.730625,-0.113257403,1.875,19.6675,21.2875,-70.559362069,0.1632653061224489,0.5191875,7.4723375930390095,0.09,9.5,8.99638989169675,-0.0654430642109064,56.25,12.29534919375,3.5
Mg0.80La0.10Al0.10,1.7578579175523736,575,3.2,2.2,16.6,141,63.0,4.4,1.994,12,0,2.0,12.28,20.57455383,145.6,0.51,197.1,0.32,1.0512,-0.105052615,10.0,18.038,23.64975,-60.405253625,0.1204819277108433,0.5361119999999999,0.5968537690520601,0.2601,6.4,9.126984126984128,-0.0999358970700152,150.7984,341.53759357800004,4.8
Mg1.75Ni1,1.33500106673234,573,4.909090909,4.909090909,17.81818182,141,65.45454545,3.702479339,2.575454545,12,0,2.0,7.867768595,15.91529256,134.8181818,0.6,205.2727273,3.702479339,13.34975207,-0.005066488,3.239669421,38.33818182,18.31909091,-2.903097624,0.1122448979477301,8.009851242,0.4943527469155113,0.36,9.818181818,8.754166667274594,-0.0003795192579932,61.90178266446828,283.5815765525732,2.8
Mg1.7Ni1Al0.3 ,1.308332819650179,585,5.766666667,4.766666667,17.43333333,141,66.16666667,6.408888889,2.674666667,12,0,2.0,8.688888889,15.10529743,133.3333333,0.6,207.4333333,3.488888889,13.03536667,-0.054023608,3.444444444,37.513,18.059,-31.60381068,0.1147227533680158,7.821220002,0.5752213042653076,0.36,11.533333334,8.841309823232177,-0.0041443872940169,75.49679012538765,263.3356851459823,2.7000000000000006
Mg1.92Ni1Al0.08,1.5040773967762742,568,4.96,4.693333333,17.36,141,65.8,4.332088889,2.5368,12,0,2.0,7.936,15.23615042,134.8,0.6,205.16,3.537777778,12.89548089,0.001349329,3.2,36.83613333,18.52906667,0.766418872,0.1152073732718894,7.737288533999999,0.5208664775048867,0.36,9.92,8.632218844984802,0.0001046358031553,62.980096,264.4995712912,3.5
Mg10.8Ba1,1.7749523509116738,648,2.0,2.0,15.72881356,141,63.0,1.241022695,1.543050847,12,0,2.0,11.47945993,17.53285837,147.2711864,0.42,196.9661017,0.0,0.966058604,0.032334521,9.152542373,16.30449153,26.33915254,20.952769608,0.1271551724083122,0.40574461368,0.6547397855926445,0.1763999999999999,4.0,10.285714285714286,0.0334705584797006,131.77800028447564,275.7710604756155,4.9
Mg12La1,1.9315214116032136,598,2.076923077,2.076923077,15.46153846,141,63.76923077,1.98816568,1.737692308,12,0,2.0,9.372781065,16.27462296,146.0769231,0.21,194.0,0.142011834,0.173964497,-0.010429734,7.810650888,17.17153846,23.9675,-6.236980932,0.1293532338437167,0.0365325443699999,0.5759138683603642,0.0440999999999999,4.153846154,9.377563329199306,-0.0599532328714174,87.84902489242253,251.630708818039,5.899999999999999
Mg14Al12Ti3 ,1.5686159179138452,610,6.75862069,2.620689655,13.44827586,141,67.48275862,3.538644471,2.633448276,12,0,2.0,11.3293698,4.141452106,134.6896552,0.3,206.8275862,0.599286564,3.487277051,-0.103773094,5.065398335,23.45310345,19.5962069,-63.30158734,0.1487179487408284,1.0461831153,2.7356032401259407,0.09,13.51724138,9.039345937752064,-0.0297576282246466,128.35462006515203,55.695390382465966,3.8
Mg17Ba2 ,1.589235205116581,625,2.0,2.0,16.63157895,141,61.78947368,1.506925208,1.551052632,12,0,2.0,13.93905817,21.2894626,148.7894737,0.42,197.6842105,0.0,1.173047091,0.039639369,11.11357341,16.04894737,27.17421053,24.774605625,0.1202531645379346,0.49267977822,0.6547397852118634,0.1763999999999999,4.0,10.114991482801702,0.0337917968546413,194.2973426666437,354.0773780349723,3.9000000000000004
Mg17La2,1.7749523509116738,563,2.105263158,2.105263158,16.73684211,141,62.21052632,2.637119114,1.821578947,12,0,2.0,12.43213296,21.58679213,147.9473684,0.21,194.0,0.188365651,0.230747922,-0.013579497,10.3601108,17.10210526,24.36447368,-7.645256810999999,0.119496855312092,0.04845706362,0.5759138683103631,0.0440999999999999,4.210526316,9.049915397018616,-0.058849921084013,154.55792993511838,361.29473154120063,4.9
Mg2.42Ni1 ,1.589235205116581,574,4.339181287,4.339181287,16.67836257,141,65.95321637,3.3104203,2.366725146,12,0,2.0,7.034643138,14.23000718,136.0292398,0.6,203.0643275,3.3104203,11.9361342,0.060095908,2.896617763,34.22842105,19.2145614,34.495051192000005,0.1199158485496337,7.16168052,0.4943527469112633,0.36,8.678362574,8.703138854970144,0.0050347882315197,49.48620407901048,237.33321912174327,3.9000000000000004
Mg2Al3 ,1.2809338454620642,608,8.6,2.6,12.6,121,71.0,1.92,2.638,13,0,2.0,9.6,1.284738528,129.0,0.3,212.6,0.48,2.2152,-0.163440965,2.4,22.898,19.044,-99.37210672,0.1587301587301587,0.6645599999999999,7.472337593039009,0.09,17.2,8.56338028169014,-0.0737815840556157,92.16,16.1877054528,2.5999999999999996
Mg2CuAl0.375 ,1.4350845252893227,603,5.888888889,4.777777778,17.14814815,141,67.37037037,2.765432099,2.305555556,12,0,1.703703704,5.794238683,16.18764081,136.1111111,0.59,206.6296296,3.687242798,6.094046639,-0.106569512,1.997256516,26.6137037,18.67555556,-64.261415736,0.0993520518424025,3.59548751701,0.3579421331995813,0.3480999999999999,10.032921812633743,8.950522265029964,-0.0174874788975175,33.57320191557357,277.588062808866,3.2
Mg2Ni0.75Fe0.25,1.3609765531356006,558,4.5,4.5,17.16666667,141,65.16666667,1.166666667,2.473333333,12,0,2.0,6.666666667,14.96724444,136.0,0.6,204.6666667,3.333333333,13.31423611,0.069757865,3.777777778,37.12916667,18.73416667,38.92488867,0.1165048543463097,7.988541666,0.4454171035774171,0.36,9.0,8.562659846109327,0.0052393441443934,44.444444448888895,256.93769626989086,2.8999999999999995
