Model,Temp_Subgroup,Count,MAE,RMSE,R2
ExtraTrees,low,110,0.14234846049438887,0.20036808383386917,0.8647666746746128
ExtraTrees,mid,98,0.17991264526991935,0.27078670662102944,0.9509589285130222
ExtraTrees,high,39,0.4401241739250389,0.5746332998422979,0.8238023485438666
Ensemble,low,110,0.1519589756881294,0.21080923809152646,0.8503054756561097
Ensemble,mid,98,0.2138595705715691,0.33233266839311437,0.9261328506666814
Ensemble,high,39,0.4444305750042662,0.6363686996358917,0.7839092599668658
