log_H2_W% (max),H2_W% (max)
1.722766598,4.60000000144982
1.902107526,5.699999997340633
1.840549633,5.299999997495831
1.609437912,3.999999997829498
1.481604541,3.400000000333452
1.887069649,5.599999999786293
1.916922612,5.799999998761985
0.993251773,1.6999999999722348
1.131402111,2.0999999984775886
1.410986974,3.100000001187926
1.131402111,2.0999999984775886
1.458615023,3.3000000012920774
1.029619417,1.7999999994927567
1.481604541,3.400000000333452
1.098612289,2.000000000995671
1.193922468,2.299999998440966
0.693147181,1.0000000008801093
0.875468737,1.3999999991506402
1.871802177,5.500000000639655
0.832909123,1.3000000001492609
1.064710737,1.900000000021958
1.386294361,2.999999999520438
0.955511445,1.5999999999286652
0.916290732,1.5000000003146123
1.193922468,2.299999998440966
0.530628251,0.6999999998943103
0.741937345,1.1000000005683077
1.568615918,3.8000000004135437
1.360976553,2.899999999471157
1.410986974,3.100000001187926
1.193922468,2.299999998440966
0.875468737,1.3999999991506402
1.648658626,4.200000002145615
1.62924054,4.100000001375572
1.252762968,2.499999998266212
0.955511445,1.5999999999286652
0.641853886,0.8999999996724499
1.098612289,2.000000000995671
0.832909123,1.3000000001492609
0.993251773,1.6999999999722348
1.481604541,3.400000000333452
1.648658626,4.200000002145615
1.481604541,3.400000000333452
1.504077397,3.500000001006767
1.757857918,4.800000002596233
1.774952351,4.900000000521125
1.335001067,2.800000001017108
1.30833282,2.7000000012943386
1.504077397,3.500000001006767
1.774952351,4.900000000521125
1.931521412,5.900000002737825
1.568615918,3.8000000004135437
1.62924054,4.100000001375572
1.589235205,3.8999999994287533
1.774952351,4.900000000521125
1.589235205,3.8999999994287533
1.589235205,3.8999999994287533
1.280933845,2.599999998336569
1.386294361,2.999999999520438
1.435084525,3.199999998784845
1.360976553,2.899999999471157
1.526056303,3.5999999977227732
1.481604541,3.400000000333452
1.589235205,3.8999999994287533
1.609437912,3.999999997829498
1.280933845,2.599999998336569
1.098612289,2.000000000995671
1.131402111,2.0999999984775886
1.568615918,3.8000000004135437
1.908059925,5.740000000510787
1.867176109,5.470000003152125
1.774952351,4.900000000521125
1.887069649,5.599999999786293
0.993251773,1.6999999999722348
1.470175845,3.3499999995624217
1.481604541,3.400000000333452
1.526056303,3.5999999977227732
1.62924054,4.100000001375572
1.609437912,3.999999997829498
1.74745921,4.739999998097333
1.85629799,5.399999997659993
1.704748092,4.499999998688661
2.043814364,6.719999999716794
1.733423892,4.659999998782582
1.615419984,4.029999999438412
1.289232648,2.6299999989953635
1.597365331,3.9399999990128345
2.012232792,6.480000000101833
1.791759469,4.9999999986316706
1.85629799,5.399999997659993
1.30833282,2.7000000012943386
1.686398954,4.400000002320764
1.916922612,5.799999998761985
1.327075001,2.7699999982661043
1.695615609,4.450000001770418
0.78845736,1.1999999991986057
0.693147181,1.0000000008801093
1.098612289,2.000000000995671
1.504077397,3.500000001006767
1.360976553,2.899999999471157
1.360976553,2.899999999471157
1.410986974,3.100000001187926
1.648658626,4.200000002145615
1.280933845,2.599999998336569
1.526056303,3.5999999977227732
1.410986974,3.100000001187926
1.386294361,2.999999999520438
1.335001067,2.800000001017108
1.458615023,3.3000000012920774
1.458615023,3.3000000012920774
1.435084525,3.199999998784845
1.435084525,3.199999998784845
1.435084525,3.199999998784845
1.435084525,3.199999998784845
1.435084525,3.199999998784845
1.504077397,3.500000001006767
0.955511445,1.5999999999286652
0.405465108,0.49999999983775345
0.832909123,1.3000000001492609
0.832909123,1.3000000001492609
0.993251773,1.6999999999722348
0.875468737,1.3999999991506402
0.530628251,0.6999999998943103
0.993251773,1.6999999999722348
0.993251773,1.6999999999722348
0.916290732,1.5000000003146123
0.916290732,1.5000000003146123
0.693147181,1.0000000008801093
0.741937345,1.1000000005683077
1.064710737,1.900000000021958
0.955511445,1.5999999999286652
0.741937345,1.1000000005683077
0.955511445,1.5999999999286652
1.098612289,2.000000000995671
0.832909123,1.3000000001492609
0.78845736,1.1999999991986057
0.993251773,1.6999999999722348
0.955511445,1.5999999999286652
0.993251773,1.6999999999722348
0.993251773,1.6999999999722348
1.064710737,1.900000000021958
0.993251773,1.6999999999722348
0.955511445,1.5999999999286652
0.470003629,0.599999999606823
0.875468737,1.3999999991506402
0.741937345,1.1000000005683077
1.098612289,2.000000000995671
0.955511445,1.5999999999286652
0.993251773,1.6999999999722348
1.029619417,1.7999999994927567
1.131402111,2.0999999984775886
0.470003629,0.599999999606823
1.410986974,3.100000001187926
0.641853886,0.8999999996724499
0.741937345,1.1000000005683077
1.30833282,2.7000000012943386
0.741937345,1.1000000005683077
0.916290732,1.5000000003146123
0.587786665,0.8000000001761858
0.641853886,0.8999999996724499
0.693147181,1.0000000008801093
0.693147181,1.0000000008801093
0.78845736,1.1999999991986057
0.78845736,1.1999999991986057
0.875468737,1.3999999991506402
0.587786665,0.8000000001761858
0.717839793,1.0499999996918508
1.223775432,2.400000001284807
0.916290732,1.5000000003146123
0.916290732,1.5000000003146123
1.029619417,1.7999999994927567
0.875468737,1.3999999991506402
0.955511445,1.5999999999286652
1.064710737,1.900000000021958
0.916290732,1.5000000003146123
1.029619417,1.7999999994927567
0.641853886,0.8999999996724499
0.832909123,1.3000000001492609
0.993251773,1.6999999999722348
0.916290732,1.5000000003146123
0.993251773,1.6999999999722348
1.098612289,2.000000000995671
1.064710737,1.900000000021958
1.098612289,2.000000000995671
0.955511445,1.5999999999286652
1.098612289,2.000000000995671
1.098612289,2.000000000995671
0.993251773,1.6999999999722348
1.029619417,1.7999999994927567
0.832909123,1.3000000001492609
1.029619417,1.7999999994927567
1.064710737,1.900000000021958
1.029619417,1.7999999994927567
0.993251773,1.6999999999722348
0.530628251,0.6999999998943103
1.029619417,1.7999999994927567
1.029619417,1.7999999994927567
0.993251773,1.6999999999722348
0.875468737,1.3999999991506402
1.064710737,1.900000000021958
1.064710737,1.900000000021958
1.064710737,1.900000000021958
1.098612289,2.000000000995671
1.064710737,1.900000000021958
1.064710737,1.900000000021958
1.064710737,1.900000000021958
1.131402111,2.0999999984775886
0.993251773,1.6999999999722348
1.131402111,2.0999999984775886
1.131402111,2.0999999984775886
1.098612289,2.000000000995671
1.131402111,2.0999999984775886
1.131402111,2.0999999984775886
1.098612289,2.000000000995671
0.993251773,1.6999999999722348
1.029619417,1.7999999994927567
0.993251773,1.6999999999722348
1.029619417,1.7999999994927567
1.280933845,2.599999998336569
1.360976553,2.899999999471157
0.993251773,1.6999999999722348
1.131402111,2.0999999984775886
1.131402111,2.0999999984775886
0.875468737,1.3999999991506402
1.131402111,2.0999999984775886
0.993251773,1.6999999999722348
0.916290732,1.5000000003146123
1.064710737,1.900000000021958
1.131402111,2.0999999984775886
1.064710737,1.900000000021958
0.841567186,1.320000000746533
1.098612289,2.000000000995671
1.280933845,2.599999998336569
1.238374231,2.4499999998507245
1.458615023,3.3000000012920774
1.526056303,3.5999999977227732
1.223775432,2.400000001284807
0.405465108,0.49999999983775345
0.530628251,0.6999999998943103
1.064710737,1.900000000021958
1.029619417,1.7999999994927567
1.131402111,2.0999999984775886
